date,count
2015-04,102
2015-08,102
2015-12,94
2015-02,82
2015-01,91
2015-07,124
2015-06,80
2015-03,113
2015-05,86
2015-11,84
2015-10,91
2015-09,97
2016-04,80
2016-02,99
2016-01,87
2016-07,24
2016-06,95
2016-03,99
2016-05,85
